Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,BESA_Std,Speaker_Group,Age_Group,Contexts,SPA_Pct,Verb_Freq_Std
H04,1,1,L2L 7th/8th,8,NA,166,NA,NA,NA,1,4,NA,8,L2 learner,L2,L2,L2,Production,Prod-18,0,NA,NA,NA,NA,NA,que comen su cena,Indicative,Subjunctive,NA,NA,comer,213756,Regular,0.5450539374761159,L2L,7th/8th,5,0.2,-0.6900769080593596
H04,1,1,L2L 7th/8th,8,NA,166,NA,NA,NA,1,4,NA,8,L2 learner,L2,L2,L2,Production,Prod-22,0,NA,NA,NA,NA,NA,que ponen,Indicative,Subjunctive,NA,NA,poner,514285,Irregular,0.5450539374761159,L2L,7th/8th,5,0.2,-0.3374006847728143
H04,1,1,L2L 7th/8th,8,NA,166,NA,NA,NA,1,4,NA,8,L2 learner,L2,L2,L2,Production,Prod-26,0,NA,NA,NA,NA,NA,que miran la tele,Indicative,Subjunctive,NA,NA,ver,1611795,Irregular,0.5450539374761159,L2L,7th/8th,5,0.2,0.950547173234953
H04,1,1,L2L 7th/8th,8,NA,166,NA,NA,NA,1,4,NA,8,L2 learner,L2,L2,L2,Production,Prod-28,0,NA,NA,NA,NA,NA,que el sol se sale,Indicative,Subjunctive,NA,NA,salir,334324,Irregular,0.5450539374761159,L2L,7th/8th,5,0.2,-0.5485881768912787
H06,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,4,NA,8,L2 learner,L2,L2,L2,Production,Prod-02,0,NA,NA,NA,NA,NA,escriben,Indicative,Subjunctive,NA,NA,escribir,265684,Regular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.6291384597804124
H06,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,4,NA,8,L2 learner,L2,L2,L2,Production,Prod-06,NA,NA,NA,NA,NA,NA,jugar,Infinitive,Subjunctive,NA,NA,hacer,2726954,Irregular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,2.2592064523195026
H06,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,4,NA,8,L2 learner,L2,L2,L2,Production,Prod-10,NA,NA,NA,NA,NA,NA,abrir la puerta,Infinitive,Subjunctive,NA,NA,abrir,143932,Regular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.7720166363876065
H06,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,4,NA,8,L2 learner,L2,L2,L2,Production,Prod-14,NA,NA,NA,NA,NA,NA,los otros niños no están,Indicative,Subjunctive,NA,NA,ir,603647,Irregular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.23253275966298378
H06,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,4,NA,8,L2 learner,L2,L2,L2,Production,Prod-18,NA,NA,NA,NA,NA,NA,comer,Infinitive,Subjunctive,NA,NA,comer,213756,Regular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.6900769080593596
H06,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,4,NA,8,L2 learner,L2,L2,L2,Production,Prod-22,NA,NA,NA,NA,NA,NA,la cercan,Indicative,Subjunctive,NA,NA,poner,514285,Irregular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.3374006847728143
H06,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,4,NA,8,L2 learner,L2,L2,L2,Production,Prod-26,0,NA,NA,NA,NA,NA,lo ponen en su cara,Indicative,Subjunctive,NA,NA,ver,1611795,Irregular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,0.950547173234953
H06,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,4,NA,8,L2 learner,L2,L2,L2,Production,Prod-28,0,NA,NA,NA,NA,NA,salir el sol,Indicative,Subjunctive,NA,NA,salir,334324,Irregular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.5485881768912787
H08,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,6,NA,8,"Hindi, Mandarin",Yes,Yes,Yes,Production,Prod-02,0,NA,NA,NA,NA,NA,quiere escribir,Infinitive,Subjunctive,NA,NA,escribir,265684,Regular,0.5450539374761159,L2L,7th/8th,7,0.14285714285714285,-0.6291384597804124
H08,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,6,NA,8,"Hindi, Mandarin",Yes,Yes,Yes,Production,Prod-06,0,NA,NA,NA,NA,NA,que los niños hacen ejercicio,Indicative,Subjunctive,NA,NA,hacer,2726954,Irregular,0.5450539374761159,L2L,7th/8th,7,0.14285714285714285,2.2592064523195026
H08,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,6,NA,8,"Hindi, Mandarin",Yes,Yes,Yes,Production,Prod-10,0,NA,NA,NA,NA,NA,abre la puerta,Indicative,Subjunctive,NA,NA,abrir,143932,Regular,0.5450539374761159,L2L,7th/8th,7,0.14285714285714285,-0.7720166363876065
H08,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,6,NA,8,"Hindi, Mandarin",Yes,Yes,Yes,Production,Prod-14,1,NA,NA,NA,NA,NA,quiere que vayan,NA,Subjunctive,NA,NA,ir,603647,Irregular,0.5450539374761159,L2L,7th/8th,7,0.14285714285714285,-0.23253275966298378
H08,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,6,NA,8,"Hindi, Mandarin",Yes,Yes,Yes,Production,Prod-18,0,NA,NA,NA,NA,NA,quiere que comen,Indicative,Subjunctive,NA,NA,comer,213756,Regular,0.5450539374761159,L2L,7th/8th,7,0.14285714285714285,-0.6900769080593596
H08,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,6,NA,8,"Hindi, Mandarin",Yes,Yes,Yes,Production,Prod-22,1,NA,NA,NA,NA,NA,se pongan las chaquetas,NA,Subjunctive,NA,NA,poner,514285,Irregular,0.5450539374761159,L2L,7th/8th,7,0.14285714285714285,-0.3374006847728143
H08,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,6,NA,8,"Hindi, Mandarin",Yes,Yes,Yes,Production,Prod-26,0,NA,NA,NA,NA,NA,quiere que ven,Indicative,Subjunctive,NA,NA,ver,1611795,Irregular,0.5450539374761159,L2L,7th/8th,7,0.14285714285714285,0.950547173234953
H08,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,6,NA,8,"Hindi, Mandarin",Yes,Yes,Yes,Production,Prod-28,NA,NA,NA,NA,NA,NA,quiere el sol,Regular verb,Subjunctive,NA,NA,salir,334324,Irregular,0.5450539374761159,L2L,7th/8th,7,0.14285714285714285,-0.5485881768912787
H09,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,4,NA,7,L2 learner,L2,L2,L2,Production,Prod-02,0,NA,NA,NA,NA,NA,quiere escribir,Infinitive,Subjunctive,NA,NA,escribir,265684,Regular,-0.06813174218451237,L2L,7th/8th,5,0.2,-0.6291384597804124
