Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,BESA_Std,Speaker_Group,Age_Group,Contexts,SPA_Pct
H03,1,1,L2L 7th/8th,8,14,170,NA,NA,NA,2,4,3,8,Forced Choice,FCT-08,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Portuguese,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H03,1,1,L2L 7th/8th,8,14,170,NA,NA,NA,2,4,3,8,Forced Choice,FCT-12,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Portuguese,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H03,1,1,L2L 7th/8th,8,14,170,NA,NA,NA,2,4,3,8,Forced Choice,FCT-16,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Portuguese,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H03,1,1,L2L 7th/8th,8,14,170,NA,NA,NA,2,4,3,8,Forced Choice,FCT-20,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Portuguese,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H03,1,1,L2L 7th/8th,8,14,170,NA,NA,NA,2,4,3,8,Forced Choice,FCT-24,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Portuguese,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H03,1,1,L2L 7th/8th,8,14,170,NA,NA,NA,2,4,3,8,Forced Choice,FCT-27,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Portuguese,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H04,1,1,L2L 7th/8th,8,NA,166,NA,NA,NA,1,4,NA,8,Forced Choice,FCT-01,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,5,0.2
H04,1,1,L2L 7th/8th,8,NA,166,NA,NA,NA,1,4,NA,8,Forced Choice,FCT-04,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,5,0.2
H04,1,1,L2L 7th/8th,8,NA,166,NA,NA,NA,1,4,NA,8,Forced Choice,FCT-08,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,5,0.2
H04,1,1,L2L 7th/8th,8,NA,166,NA,NA,NA,1,4,NA,8,Forced Choice,FCT-12,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,5,0.2
H04,1,1,L2L 7th/8th,8,NA,166,NA,NA,NA,1,4,NA,8,Forced Choice,FCT-16,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,5,0.2
H04,1,1,L2L 7th/8th,8,NA,166,NA,NA,NA,1,4,NA,8,Forced Choice,FCT-20,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,5,0.2
H04,1,1,L2L 7th/8th,8,NA,166,NA,NA,NA,1,4,NA,8,Forced Choice,FCT-24,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,5,0.2
H04,1,1,L2L 7th/8th,8,NA,166,NA,NA,NA,1,4,NA,8,Forced Choice,FCT-27,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,5,0.2
H06,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,4,NA,8,Forced Choice,FCT-01,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H06,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,4,NA,8,Forced Choice,FCT-04,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H06,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,4,NA,8,Forced Choice,FCT-08,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H06,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,4,NA,8,Forced Choice,FCT-12,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H06,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,4,NA,8,Forced Choice,FCT-16,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H06,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,4,NA,8,Forced Choice,FCT-20,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H06,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,4,NA,8,Forced Choice,FCT-24,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H06,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,4,NA,8,Forced Choice,FCT-27,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H08,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,6,NA,8,Forced Choice,FCT-01,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,"Hindi, Mandarin",Yes,Yes,Yes,0.6026420464626301,L2L,7th/8th,7,0.14285714285714285
H08,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,6,NA,8,Forced Choice,FCT-04,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,"Hindi, Mandarin",Yes,Yes,Yes,0.6026420464626301,L2L,7th/8th,7,0.14285714285714285
H08,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,6,NA,8,Forced Choice,FCT-08,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,"Hindi, Mandarin",Yes,Yes,Yes,0.6026420464626301,L2L,7th/8th,7,0.14285714285714285
H08,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,6,NA,8,Forced Choice,FCT-12,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,"Hindi, Mandarin",Yes,Yes,Yes,0.6026420464626301,L2L,7th/8th,7,0.14285714285714285
H08,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,6,NA,8,Forced Choice,FCT-16,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,"Hindi, Mandarin",Yes,Yes,Yes,0.6026420464626301,L2L,7th/8th,7,0.14285714285714285
H08,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,6,NA,8,Forced Choice,FCT-20,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,"Hindi, Mandarin",Yes,Yes,Yes,0.6026420464626301,L2L,7th/8th,7,0.14285714285714285
H08,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,6,NA,8,Forced Choice,FCT-24,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,"Hindi, Mandarin",Yes,Yes,Yes,0.6026420464626301,L2L,7th/8th,7,0.14285714285714285
H08,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,6,NA,8,Forced Choice,FCT-27,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,"Hindi, Mandarin",Yes,Yes,Yes,0.6026420464626301,L2L,7th/8th,7,0.14285714285714285
H09,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,4,NA,7,Forced Choice,FCT-01,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.05739448061548743,L2L,7th/8th,5,0.2
H09,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,4,NA,7,Forced Choice,FCT-04,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.05739448061548743,L2L,7th/8th,5,0.2
H09,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,4,NA,7,Forced Choice,FCT-08,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.05739448061548743,L2L,7th/8th,5,0.2
H09,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,4,NA,7,Forced Choice,FCT-12,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.05739448061548743,L2L,7th/8th,5,0.2
H09,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,4,NA,7,Forced Choice,FCT-16,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.05739448061548743,L2L,7th/8th,5,0.2
H09,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,4,NA,7,Forced Choice,FCT-20,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.05739448061548743,L2L,7th/8th,5,0.2
H09,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,4,NA,7,Forced Choice,FCT-24,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.05739448061548743,L2L,7th/8th,5,0.2
H09,1,1,L2L 7th/8th,8,NA,168,NA,NA,NA,1,4,NA,7,Forced Choice,FCT-27,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.05739448061548743,L2L,7th/8th,5,0.2
H10,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Forced Choice,FCT-01,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Russian,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H10,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Forced Choice,FCT-04,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Russian,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H10,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Forced Choice,FCT-08,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Russian,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H10,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Forced Choice,FCT-12,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Russian,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H10,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Forced Choice,FCT-16,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Russian,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H10,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Forced Choice,FCT-20,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Russian,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H10,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Forced Choice,FCT-24,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Russian,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H10,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Forced Choice,FCT-27,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Russian,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H11,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Forced Choice,FCT-01,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Russian,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H11,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Forced Choice,FCT-04,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Russian,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H11,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Forced Choice,FCT-08,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Russian,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H11,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Forced Choice,FCT-12,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Russian,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H11,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Forced Choice,FCT-16,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Russian,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H11,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Forced Choice,FCT-20,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Russian,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H11,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Forced Choice,FCT-24,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,Russian,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H11,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Forced Choice,FCT-27,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,Russian,No,Yes,Yes,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H12,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,2,NA,5,Forced Choice,FCT-01,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,-1.033100651078798,L2L,7th/8th,4,0.5
H12,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,2,NA,5,Forced Choice,FCT-04,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,-1.033100651078798,L2L,7th/8th,4,0.5
H12,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,2,NA,5,Forced Choice,FCT-08,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,-1.033100651078798,L2L,7th/8th,4,0.5
H12,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,2,NA,5,Forced Choice,FCT-12,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,-1.033100651078798,L2L,7th/8th,4,0.5
H12,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,2,NA,5,Forced Choice,FCT-16,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,-1.033100651078798,L2L,7th/8th,4,0.5
H12,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,2,NA,5,Forced Choice,FCT-20,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,-1.033100651078798,L2L,7th/8th,4,0.5
H12,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,2,NA,5,Forced Choice,FCT-24,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,-1.033100651078798,L2L,7th/8th,4,0.5
H12,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,2,NA,5,Forced Choice,FCT-27,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,-1.033100651078798,L2L,7th/8th,4,0.5
H13,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,3,4,NA,8,Forced Choice,FCT-01,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,"Bulgarian, Russian",No,Yes,Yes,0.6026420464626301,L2L,7th/8th,7,0.42857142857142855
H13,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,3,4,NA,8,Forced Choice,FCT-04,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,"Bulgarian, Russian",No,Yes,Yes,0.6026420464626301,L2L,7th/8th,7,0.42857142857142855
H13,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,3,4,NA,8,Forced Choice,FCT-08,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,"Bulgarian, Russian",No,Yes,Yes,0.6026420464626301,L2L,7th/8th,7,0.42857142857142855
H13,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,3,4,NA,8,Forced Choice,FCT-12,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,"Bulgarian, Russian",No,Yes,Yes,0.6026420464626301,L2L,7th/8th,7,0.42857142857142855
H13,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,3,4,NA,8,Forced Choice,FCT-16,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,"Bulgarian, Russian",No,Yes,Yes,0.6026420464626301,L2L,7th/8th,7,0.42857142857142855
H13,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,3,4,NA,8,Forced Choice,FCT-20,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,"Bulgarian, Russian",No,Yes,Yes,0.6026420464626301,L2L,7th/8th,7,0.42857142857142855
H13,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,3,4,NA,8,Forced Choice,FCT-24,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,"Bulgarian, Russian",No,Yes,Yes,0.6026420464626301,L2L,7th/8th,7,0.42857142857142855
H13,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,3,4,NA,8,Forced Choice,FCT-27,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,"Bulgarian, Russian",No,Yes,Yes,0.6026420464626301,L2L,7th/8th,7,0.42857142857142855
H14,1,1,L2L 7th/8th,8,NA,172,NA,NA,NA,2,4,NA,8,Forced Choice,FCT-01,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H14,1,1,L2L 7th/8th,8,NA,172,NA,NA,NA,2,4,NA,8,Forced Choice,FCT-04,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H14,1,1,L2L 7th/8th,8,NA,172,NA,NA,NA,2,4,NA,8,Forced Choice,FCT-08,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H14,1,1,L2L 7th/8th,8,NA,172,NA,NA,NA,2,4,NA,8,Forced Choice,FCT-12,0,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H14,1,1,L2L 7th/8th,8,NA,172,NA,NA,NA,2,4,NA,8,Forced Choice,FCT-16,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H14,1,1,L2L 7th/8th,8,NA,172,NA,NA,NA,2,4,NA,8,Forced Choice,FCT-20,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H14,1,1,L2L 7th/8th,8,NA,172,NA,NA,NA,2,4,NA,8,Forced Choice,FCT-24,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H14,1,1,L2L 7th/8th,8,NA,172,NA,NA,NA,2,4,NA,8,Forced Choice,FCT-27,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.6026420464626301,L2L,7th/8th,6,0.3333333333333333
H16,1,1,L2L 7th/8th,8,NA,165,NA,NA,NA,2,5,NA,7,Forced Choice,FCT-01,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.05739448061548743,L2L,7th/8th,7,0.2857142857142857
H16,1,1,L2L 7th/8th,8,NA,165,NA,NA,NA,2,5,NA,7,Forced Choice,FCT-04,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.05739448061548743,L2L,7th/8th,7,0.2857142857142857
H16,1,1,L2L 7th/8th,8,NA,165,NA,NA,NA,2,5,NA,7,Forced Choice,FCT-08,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.05739448061548743,L2L,7th/8th,7,0.2857142857142857
H16,1,1,L2L 7th/8th,8,NA,165,NA,NA,NA,2,5,NA,7,Forced Choice,FCT-12,1,NA,NA,NA,NA,NA,NA,NA,DOM,Feminine,Singular,NA,NA,NA,L2 learner,L2,L2,L2,0.05739448061548743,L2L,7th/8th,7,0.2857142857142857
H16,1,1,L2L 7th/8th,8,NA,165,NA,NA,NA,2,5,NA,7,Forced Choice,FCT-16,0,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,NA,NA,NA,NA,L2 learner,L2,L2,L2,0.05739448061548743,L2L,7th/8th,7,0.2857142857142857
