Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,BESA_Std,Speaker_Group,Age_Group,Contexts,SPA_Pct
H52,1,1,L2L 2nd,2,8,98,NA,NA,NA,0,6,NA,3,"German, Russian",No,Yes,Yes,Production,Prod-27,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,6,0
H56,1,1,L2L 2nd,2,8,53,NA,NA,NA,3,6,NA,3,"Gujarathi, French, Malayalam",Yes,Yes,Yes,Production,Prod-01,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,9,0.3333333333333333
H56,1,1,L2L 2nd,2,8,53,NA,NA,NA,3,6,NA,3,"Gujarathi, French, Malayalam",Yes,Yes,Yes,Production,Prod-04,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,9,0.3333333333333333
H56,1,1,L2L 2nd,2,8,53,NA,NA,NA,3,6,NA,3,"Gujarathi, French, Malayalam",Yes,Yes,Yes,Production,Prod-08,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,9,0.3333333333333333
H56,1,1,L2L 2nd,2,8,53,NA,NA,NA,3,6,NA,3,"Gujarathi, French, Malayalam",Yes,Yes,Yes,Production,Prod-12,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,9,0.3333333333333333
H56,1,1,L2L 2nd,2,8,53,NA,NA,NA,3,6,NA,3,"Gujarathi, French, Malayalam",Yes,Yes,Yes,Production,Prod-16,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,9,0.3333333333333333
H56,1,1,L2L 2nd,2,8,53,NA,NA,NA,3,6,NA,3,"Gujarathi, French, Malayalam",Yes,Yes,Yes,Production,Prod-20,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Feminine,Singular,NA,NA,NA,NA,L2L,2nd,9,0.3333333333333333
H56,1,1,L2L 2nd,2,8,53,NA,NA,NA,3,6,NA,3,"Gujarathi, French, Malayalam",Yes,Yes,Yes,Production,Prod-24,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,9,0.3333333333333333
H56,1,1,L2L 2nd,2,8,53,NA,NA,NA,3,6,NA,3,"Gujarathi, French, Malayalam",Yes,Yes,Yes,Production,Prod-27,0,NA,NA,NA,NA,NA,NA,Omission,DOM,Feminine,Plural,NA,NA,NA,NA,L2L,2nd,9,0.3333333333333333
H57,1,1,L2L 2nd,2,NA,102,NA,NA,NA,NA,NA,3,4,L2 learner,L2,L2,L2,Production,Prod-01,1,NA,NA,NA,NA,NA,NA,NA,DOM,Masculine,Singular,NA,NA,NA,NA,L2L,2nd,NA,NA
