Part_ID,Group,Grade,Age,Months,SPA_Score,ENG_Score,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,BESA_Std,Speaker_Group,Age_Group,Total_Score,SPA_Pct,Verb_Freq_Std
H22,HS 4th/5th,5,11,138,4,3,NA,8,Production,Prod-22,0,NA,NA,NA,NA,NA,pusir la chaqueta,Other,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,7,0.5714285714285714,-0.33645558295898137
H22,HS 4th/5th,5,11,138,4,3,NA,8,Production,Prod-26,0,NA,NA,NA,NA,NA,ven televisión,Indicative,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,7,0.5714285714285714,0.947884570880832
H22,HS 4th/5th,5,11,138,4,3,NA,8,Production,Prod-28,0,NA,NA,NA,NA,NA,hay sol,Indicative,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,7,0.5714285714285714,-0.5470515123128521
H24,HS 4th/5th,5,11,138,2,3,NA,8,Production,Prod-02,0,NA,NA,NA,NA,NA,escribe,Indicative,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,5,0.4,-0.6273761637142651
H24,HS 4th/5th,5,11,138,2,3,NA,8,Production,Prod-06,0,NA,NA,NA,NA,NA,hacen ejercicio,Indicative,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,5,0.4,2.252878130498378
H24,HS 4th/5th,5,11,138,2,3,NA,8,Production,Prod-10,0,NA,NA,NA,NA,NA,abre,Indicative,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,5,0.4,-0.769854120553205
H24,HS 4th/5th,5,11,138,2,3,NA,8,Production,Prod-14,NA,NA,NA,NA,NA,Removed 0 in accuracy because didn't produce Spanish -Jen,don't know,English,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,5,0.4,-0.2318814061155509
H24,HS 4th/5th,5,11,138,2,3,NA,8,Production,Prod-18,0,NA,NA,NA,NA,NA,comer,Infinitive,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,5,0.4,-0.6881439157243551
H24,HS 4th/5th,5,11,138,2,3,NA,8,Production,Prod-22,0,NA,NA,NA,NA,NA,poner,Infinitive,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,5,0.4,-0.33645558295898137
H24,HS 4th/5th,5,11,138,2,3,NA,8,Production,Prod-26,0,NA,NA,NA,NA,NA,ver la televisión,Infinitive,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,5,0.4,0.947884570880832
H24,HS 4th/5th,5,11,138,2,3,NA,8,Production,Prod-28,0,NA,NA,NA,NA,NA,quiere el sol,Indicative,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,5,0.4,-0.5470515123128521
H25,HS 4th/5th,5,10,128,4,2,NA,7,Production,Prod-02,1,NA,NA,NA,NA,NA,escriban,NA,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,0.11230770183518655,HS,4th/5th,6,0.6666666666666666,-0.6273761637142651
H25,HS 4th/5th,5,10,128,4,2,NA,7,Production,Prod-06,0,NA,NA,NA,NA,NA,hacen ejercicio,Indicative,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,0.11230770183518655,HS,4th/5th,6,0.6666666666666666,2.252878130498378
H25,HS 4th/5th,5,10,128,4,2,NA,7,Production,Prod-10,0,NA,NA,NA,NA,NA,abre,Indicative,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,0.11230770183518655,HS,4th/5th,6,0.6666666666666666,-0.769854120553205
H25,HS 4th/5th,5,10,128,4,2,NA,7,Production,Prod-14,0,NA,NA,NA,NA,NA,salen,Indicative,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,0.11230770183518655,HS,4th/5th,6,0.6666666666666666,-0.2318814061155509
H25,HS 4th/5th,5,10,128,4,2,NA,7,Production,Prod-18,0,NA,NA,NA,NA,NA,comen,Indicative,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,0.11230770183518655,HS,4th/5th,6,0.6666666666666666,-0.6881439157243551
H25,HS 4th/5th,5,10,128,4,2,NA,7,Production,Prod-22,0,NA,NA,NA,NA,NA,se pone,Indicative,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,0.11230770183518655,HS,4th/5th,6,0.6666666666666666,-0.33645558295898137
H25,HS 4th/5th,5,10,128,4,2,NA,7,Production,Prod-26,0,NA,NA,NA,NA,NA,ver la televisión,Infinitive,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,0.11230770183518655,HS,4th/5th,6,0.6666666666666666,0.947884570880832
H25,HS 4th/5th,5,10,128,4,2,NA,7,Production,Prod-28,NA,NA,NA,NA,NA,Removed 0 code accuracy because didn't produce Spanish -Jen,unsure,Other,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,0.11230770183518655,HS,4th/5th,6,0.6666666666666666,-0.5470515123128521
H26,HS 4th/5th,5,NA,132,1,3,NA,8,Production,Prod-02,0,NA,NA,NA,NA,NA,leer,Infinitive,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,4,0.25,-0.6273761637142651
H26,HS 4th/5th,5,NA,132,1,3,NA,8,Production,Prod-06,0,NA,NA,NA,NA,NA,que hacen los niños fuerte,Indicative,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,4,0.25,2.252878130498378
H26,HS 4th/5th,5,NA,132,1,3,NA,8,Production,Prod-10,NA,NA,NA,NA,NA,Removed 0 for accuracy because there is no verb -Jen,la puerta abierta,Other,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,4,0.25,-0.769854120553205
H26,HS 4th/5th,5,NA,132,1,3,NA,8,Production,Prod-14,0,NA,NA,NA,NA,NA,viene,Indicative,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,4,0.25,-0.2318814061155509
H26,HS 4th/5th,5,NA,132,1,3,NA,8,Production,Prod-18,0,NA,NA,NA,NA,NA,comer los pan,Infinitive,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,4,0.25,-0.6881439157243551
H26,HS 4th/5th,5,NA,132,1,3,NA,8,Production,Prod-22,0,NA,NA,NA,NA,NA,se ponen las chaquetas,Indicative,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,4,0.25,-0.33645558295898137
H26,HS 4th/5th,5,NA,132,1,3,NA,8,Production,Prod-26,0,NA,NA,NA,NA,NA,jugar la televisión,Indicative,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,4,0.25,0.947884570880832
H26,HS 4th/5th,5,NA,132,1,3,NA,8,Production,Prod-28,1,NA,NA,NA,NA,NA,que esté soleado,NA,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,4,0.25,-0.5470515123128521
H44,HS 4th/5th,5,NA,137,2,6,NA,4,Production,Prod-02,0,NA,NA,NA,NA,NA,escribir,Infinitive,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,-1.5723078256925953,HS,4th/5th,8,0.25,-0.6273761637142651
H44,HS 4th/5th,5,NA,137,2,6,NA,4,Production,Prod-06,NA,NA,NA,NA,NA,Removed 0 for accouracy b/c English -Jen,working out,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,-1.5723078256925953,HS,4th/5th,8,0.25,2.252878130498378
