Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,BESA_Std,Speaker_Group,Age_Group,Contexts,SPA_Pct,Verb_Freq_Std
H05,1,1,HS 7th/8th,8,NA,174,NA,NA,NA,2,6,NA,8,Heritage Spanish,NA,NA,NA,Forced Choice,FCT-02,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ver,1611795,Irregular,NA,HS,7th/8th,8,0.25,0.9453099588712524
H05,1,1,HS 7th/8th,8,NA,174,NA,NA,NA,2,6,NA,8,Heritage Spanish,NA,NA,NA,Forced Choice,FCT-06,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,NA,HS,7th/8th,8,0.25,2.2467589391230915
H05,1,1,HS 7th/8th,8,NA,174,NA,NA,NA,2,6,NA,8,Heritage Spanish,NA,NA,NA,Forced Choice,FCT-10,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,comer,213756,Regular,NA,HS,7th/8th,8,0.25,-0.6862748024966794
H05,1,1,HS 7th/8th,8,NA,174,NA,NA,NA,2,6,NA,8,Heritage Spanish,NA,NA,NA,Forced Choice,FCT-14,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ir,603647,Irregular,NA,HS,7th/8th,8,0.25,-0.23125157768356308
H05,1,1,HS 7th/8th,8,NA,174,NA,NA,NA,2,6,NA,8,Heritage Spanish,NA,NA,NA,Forced Choice,FCT-18,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,abrir,143932,Regular,NA,HS,7th/8th,8,0.25,-0.7677630688309908
H05,1,1,HS 7th/8th,8,NA,174,NA,NA,NA,2,6,NA,8,Heritage Spanish,NA,NA,NA,Forced Choice,FCT-22,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,poner,514285,Irregular,NA,HS,7th/8th,8,0.25,-0.3355417136850345
H05,1,1,HS 7th/8th,8,NA,174,NA,NA,NA,2,6,NA,8,Heritage Spanish,NA,NA,NA,Forced Choice,FCT-26,0,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,escribir,265684,Regular,NA,HS,7th/8th,8,0.25,-0.6256721057991523
H05,1,1,HS 7th/8th,8,NA,174,NA,NA,NA,2,6,NA,8,Heritage Spanish,NA,NA,NA,Forced Choice,FCT-28,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,salir,334324,Irregular,NA,HS,7th/8th,8,0.25,-0.5455656294989241
H07,1,1,HS 7th/8th,8,NA,171,NA,NA,NA,4,4,NA,8,Heritage Spanish,NA,NA,NA,Forced Choice,FCT-02,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,ver,1611795,Irregular,NA,HS,7th/8th,8,0.5,0.9453099588712524
H07,1,1,HS 7th/8th,8,NA,171,NA,NA,NA,4,4,NA,8,Heritage Spanish,NA,NA,NA,Forced Choice,FCT-06,1,NA,NA,NA,NA,NA,NA,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,NA,HS,7th/8th,8,0.5,2.2467589391230915
