Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-10,0,,,,,,,,Subjunctive,,,comer,213756,Regular
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-11,0,,,,,,,,Clitic,Masculine,Singular,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-12,1,,,,,,,,DOM,Feminine,Singular,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-13,1,,,,,,,,Clitic,Feminine,Singular,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-14,1,,,,,,,,Subjunctive,,,ir,603647,Irregular
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-15,0,,,,,,,,Clitic,Masculine,Plural,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-16,0,,,,,,,,DOM,Masculine,,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-17,1,,,,,,,,Clitic,Feminine,Plural,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-18,1,,,,,,,,Subjunctive,,,abrir,143932,Regular
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-19,1,,,,,,,,Clitic,Masculine,Singular,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-20,1,,,,,,,,DOM,Feminine,Singular,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-21,1,,,,,,,,Clitic,Feminine,Singular,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Forced Choice,FCT-22,1,,,,,,,,Subjunctive,,,poner,514285,Irregular
