Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-07,,,,,,,están contando,Omission,Clitic,Masculine,Plural,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-08,1,,,,,,ve la niña y el perro,Omission,DOM,Feminine,Singular,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-09,1,1,1,,,,quitándolas,,Clitic,Feminine,Plural,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-10,0,,,,,,abren la puerta,Indicative,Subjunctive,,,abrir,143932,Regular
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-11,,,,1,, DOM,lavan al perro,DP,Clitic,Masculine,Singular,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-12,1,,,,,,ve al niño,,DOM,Masculine,Singular,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-13,,,,1,1,,están escuchando la música,DP,Clitic,Feminine,Singular,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-14,,,,,,,,NO RESPONSE,Subjunctive,,,ir,603647,Irregular
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-15,,,,,,,,NO RESPONSE,Clitic,Masculine,Plural,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-16,0,,,,,,están,Other,DOM,Masculine,Singular,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-17,,,,1,1,,ve el niño,DP,Clitic,Feminine,Plural,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-18,0,,,,,,están comiendo,Indicative,Subjunctive,,,comer,213756,Regular
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-19,,,,1,1,,coman la comida,DP,Clitic,Masculine,Singular,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-20,1,,,,,,cocinándolo,Omission,DOM,Feminine,Singular,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-21,,,,1,1,DOM,ve a la niña,DP,Clitic,Feminine,Singular,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-22,,,,,,,cierran,Regular verb,Subjunctive,,,poner,514285,Irregular
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-23,,,,,,,ponga,Omission,Clitic,Masculine,Plural,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-24,,,,,,,vean,Omission,DOM,Feminine,Plural,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-25,,,,1,1,DOM,ve a las niñas,DP,Clitic,Feminine,Plural,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-26,0,,,,,,ve la tv,Indicative,Subjunctive,,,ver,1611795,Irregular
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-27,0,,,,,,ve las niñas,Omission,DOM,Feminine,Plural,,,
H02,1,1,L2,8,,175,,,,2,4,,8,L2 learner,L2,L2,L2,Production,Prod-28,0,,,,,,que haya sol,,Subjunctive,,,salir,334324,Irregular
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-01,0,,,,,,la niña/la mujer,Omission,DOM,Masculine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-02,0,,,,,,escritura,Other,Subjunctive,,,escribir,265684,Regular
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-03,,,,,,Se,se usan cosa muy dura,DP,Clitic,Masculine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-04,0,,,,,,el niño,Omission,DOM,Masculine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-05,,,,,,,están comiendo,Omission,Clitic,Feminine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-06,0,,,,,,hacer ejercicio,Infinitive,Subjunctive,,,hacer,2726954,Irregular
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-07,,,,,,,están contando,Omission,Clitic,Masculine,Plural,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-08,0,,,,,,el perro y la niña,Omission,DOM,Feminine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-09,,,,,,,están quitando,Omission,Clitic,Feminine,Plural,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-10,0,,,,,,abrir la puerta,Infinitive,Subjunctive,,,abrir,143932,Regular
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-11,,,,1,1,Recoded as no score -Jen,limpian el perro,DP,Clitic,Masculine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-12,0,,,,,,el niño,Omission,DOM,Masculine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-13,,,,,,,están escuchando,Omission,Clitic,Feminine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-14,0,,,,,,salir,Infinitive,Subjunctive,,,ir,603647,Irregular
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-15,,,,1,1,Se,se ponen los libros en la mesa,DP,Clitic,Masculine,Plural,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-16,0,,,,,,el bebé,Omission,DOM,Masculine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-17,,,,1,1,Se,Se comen las galletas,DP,Clitic,Feminine,Plural,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-18,0,,,,,,comen la comida,Indicative,Subjunctive,,,comer,213756,Regular
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-19,,,,1,1,,cocinan el pescado,DP,Clitic,Masculine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-20,0,,,,,,la niña ,Omission,DOM,Feminine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-21,,,,1,1,,fechar la puerta,DP,Clitic,Feminine,Singular,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-22,0,,,,,,poner las chaquetas,Infinitive,Subjunctive,,,poner,514285,Irregular
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-23,,,,1,1,Se,Se juegan los instrumentos,DP,Clitic,Masculine,Plural,,,
H03,1,1,L2,8,14,170,,,,2,4,3,8,Portuguese,No,Yes,Yes,Production,Prod-24,0,,,,,,las dos niñas,Omission,DOM,Feminine,Plural,,,
