Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Speaker_Group,Age_Group,Accuracy_Combined,Timing,Interface,Contexts,Study_Age,Months_at_Testing,SPA_Pct,Verb_Freq_Std,BESA_Std,Months_at_Start_Std
H02,1,1,L2L 7th/8th,8,NA,1.4114843932124121,NA,NA,NA,2,4,NA,8,Production,Prod-26,0,NA,NA,NA,NA,NA,ve la tv,Indicative,Subjunctive,NA,NA,ver,1611795,Irregular,L2 learner,L2,L2,L2,L2L,7th/8th,0,Late,No,6,0,1.4114843932124121,0.3333333333333333,0.9533418787826256,0.6822680503847559,1.4114843932124381
H02,1,1,L2L 7th/8th,8,NA,1.4114843932124121,NA,NA,NA,2,4,NA,8,Production,Prod-28,0,NA,NA,NA,NA,NA,que haya sol,NA,Subjunctive,NA,NA,salir,334324,Irregular,L2 learner,L2,L2,L2,L2L,7th/8th,0,Late,No,6,0,1.4114843932124121,0.3333333333333333,-0.550201082031092,0.6822680503847559,1.4114843932124381
H03,1,1,L2L 7th/8th,8,14,1.2262556550002948,NA,NA,NA,2,4,3,8,Production,Prod-02,0,NA,NA,NA,NA,NA,escritura,Other,Subjunctive,NA,NA,escribir,265684,Regular,Portuguese,No,Yes,Yes,L2L,7th/8th,0,Late,No,6,0,1.2262556550002948,0.3333333333333333,-0.6309881909597905,0.6822680503847559,1.2262556550003205
H03,1,1,L2L 7th/8th,8,14,1.2262556550002948,NA,NA,NA,2,4,3,8,Production,Prod-06,0,NA,NA,NA,NA,NA,hacer ejercicio,Infinitive,Subjunctive,NA,NA,hacer,2726954,Irregular,Portuguese,No,Yes,Yes,L2L,7th/8th,0,Late,No,6,0,1.2262556550002948,0.3333333333333333,2.2658487494967665,0.6822680503847559,1.2262556550003205
H03,1,1,L2L 7th/8th,8,14,1.2262556550002948,NA,NA,NA,2,4,3,8,Production,Prod-10,0,NA,NA,NA,NA,NA,abrir la puerta,Infinitive,Subjunctive,NA,NA,abrir,143932,Regular,Portuguese,No,Yes,Yes,L2L,7th/8th,0,Late,No,6,0,1.2262556550002948,0.3333333333333333,-0.7742864439651361,0.6822680503847559,1.2262556550003205
H03,1,1,L2L 7th/8th,8,14,1.2262556550002948,NA,NA,NA,2,4,3,8,Production,Prod-14,0,NA,NA,NA,NA,NA,salir,Infinitive,Subjunctive,NA,NA,ir,603647,Irregular,Portuguese,No,Yes,Yes,L2L,7th/8th,0,Late,No,6,0,1.2262556550002948,0.3333333333333333,-0.23321642967089526,0.6822680503847559,1.2262556550003205
H03,1,1,L2L 7th/8th,8,14,1.2262556550002948,NA,NA,NA,2,4,3,8,Production,Prod-18,0,NA,NA,NA,NA,NA,comen la comida,Indicative,Subjunctive,NA,NA,comer,213756,Regular,Portuguese,No,Yes,Yes,L2L,7th/8th,0,Late,No,6,0,1.2262556550002948,0.3333333333333333,-0.6921058044861522,0.6822680503847559,1.2262556550003205
H03,1,1,L2L 7th/8th,8,14,1.2262556550002948,NA,NA,NA,2,4,3,8,Production,Prod-22,0,NA,NA,NA,NA,NA,poner las chaquetas,Infinitive,Subjunctive,NA,NA,poner,514285,Irregular,Portuguese,No,Yes,Yes,L2L,7th/8th,0,Late,No,6,0,1.2262556550002948,0.3333333333333333,-0.338392677166326,0.6822680503847559,1.2262556550003205
H03,1,1,L2L 7th/8th,8,14,1.2262556550002948,NA,NA,NA,2,4,3,8,Production,Prod-26,0,NA,NA,NA,NA,NA,ver el tele,Infinitive,Subjunctive,NA,NA,ver,1611795,Irregular,Portuguese,No,Yes,Yes,L2L,7th/8th,0,Late,No,6,0,1.2262556550002948,0.3333333333333333,0.9533418787826256,0.6822680503847559,1.2262556550003205
H03,1,1,L2L 7th/8th,8,14,1.2262556550002948,NA,NA,NA,2,4,3,8,Production,Prod-28,0,NA,NA,NA,NA,NA,ser soleado,Omission,Subjunctive,NA,NA,salir,334324,Irregular,Portuguese,No,Yes,Yes,L2L,7th/8th,0,Late,No,6,0,1.2262556550002948,0.3333333333333333,-0.550201082031092,0.6822680503847559,1.2262556550003205
H04,1,1,L2L 7th/8th,8,NA,1.0780726644306007,NA,NA,NA,1,4,NA,8,Production,Prod-02,1,NA,NA,NA,NA,NA,que escriban,NA,Subjunctive,NA,NA,escribir,265684,Regular,L2 learner,L2,L2,L2,L2L,7th/8th,1,Late,No,5,0,1.0780726644306007,0.2,-0.6309881909597905,0.6822680503847559,1.0780726644306264
