Part_ID,Group,Grade,Age,Months,SPA_Score,ENG_Score,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj
H01,L2,5,,129,1,5,,3,Production,Prod-13,,,,1,1,,escuchar la música,DP,Clitic,Feminine,Singular,,,,L2 learner,L2,L2,L2
H01,L2,5,,129,1,5,,3,Production,Prod-14,0,,,,,,ir,Infinitive,Subjunctive,,,ir,603647,Irregular,L2 learner,L2,L2,L2
H01,L2,5,,129,1,5,,3,Production,Prod-15,,,,,,,los niños poner los libros en la mesa,DP,Clitic,Masculine,Plural,,,,L2 learner,L2,L2,L2
H01,L2,5,,129,1,5,,3,Production,Prod-16,0,,,,,,la mamá ve el bebé,Omission,DOM,Masculine,Singular,,,,L2 learner,L2,L2,L2
H01,L2,5,,129,1,5,,3,Production,Prod-17,,,,1,1,,comer las galletas,DP,Clitic,Feminine,Plural,,,,L2 learner,L2,L2,L2
H01,L2,5,,129,1,5,,3,Production,Prod-18,0,,,,,,quiere que ellos comer,Infinitive,Subjunctive,,,comer,213756,Regular,L2 learner,L2,L2,L2
H01,L2,5,,129,1,5,,3,Production,Prod-19,,,,1,1,,están cocinar el pescado,DP,Clitic,Masculine,Singular,,,,L2 learner,L2,L2,L2
H01,L2,5,,129,1,5,,3,Production,Prod-20,1,,,,,,ve a la niña,,DOM,Feminine,Singular,,,,L2 learner,L2,L2,L2
H01,L2,5,,129,1,5,,3,Production,Prod-21,,,,1,1,,cerrar la puerta,DP,Clitic,Feminine,Singular,,,,L2 learner,L2,L2,L2
H01,L2,5,,129,1,5,,3,Production,Prod-22,0,,,,,,la mamá quiere ponerse las chaquetas,Infinitive,Subjunctive,,,poner,514285,Irregular,L2 learner,L2,L2,L2
H01,L2,5,,129,1,5,,3,Production,Prod-23,,,,1,1,,hacer música con los instrumentos,DP,Clitic,Masculine,Plural,,,,L2 learner,L2,L2,L2
H01,L2,5,,129,1,5,,3,Production,Prod-24,0,,,,,,ve las niñas,Omission,DOM,Feminine,Plural,,,,L2 learner,L2,L2,L2
H01,L2,5,,129,1,5,,3,Production,Prod-25,1,,,1,1,,ponerlas,,Clitic,Feminine,Plural,,,,L2 learner,L2,L2,L2
H01,L2,5,,129,1,5,,3,Production,Prod-26,0,,,,,,ven la televisión,Indicative,Subjunctive,,,ver,1611795,Irregular,L2 learner,L2,L2,L2
H01,L2,5,,129,1,5,,3,Production,Prod-27,0,,,,,,la mamá ve los niños,Omission,DOM,Feminine,Plural,,,,L2 learner,L2,L2,L2
H01,L2,5,,129,1,5,,3,Production,Prod-28,0,,,,,,el sol que salir,Indicative,Subjunctive,,,salir,334324,Irregular,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-01,1,,,,,,ve a nos* al centro,,DOM,Masculine,Singular,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-02,1,,,,,,escriban,,Subjunctive,,,escribir,265684,Regular,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-03,1,1,1,,,,rompiéndolo,,Clitic,Masculine,Singular,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-04,0,,,,,,el niño,DP,DOM,Masculine,Singular,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-05,1,1,1,,,,comerla,,Clitic,Feminine,Singular,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-06,0,,,,,,juegan/hacen ejercicio,Indicative,Subjunctive,,,hacer,2726954,Irregular,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-07,,,,,,,están contando,Omission,Clitic,Masculine,Plural,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-08,0,,,,,,ve la niña y el perro,Omission,DOM,Feminine,Singular,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-09,1,1,1,,,,quitándolas,,Clitic,Feminine,Plural,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-10,0,,,,,,abren la puerta,Indicative,Subjunctive,,,abrir,143932,Regular,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-11,,,,1,, DOM,lavan al perro,DP,Clitic,Masculine,Singular,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-12,1,,,,,,ve al niño,,DOM,Masculine,Singular,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-13,,,,1,1,,están escuchando la música,DP,Clitic,Feminine,Singular,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-14,,,,,,,,NO RESPONSE,Subjunctive,,,ir,603647,Irregular,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-15,,,,,,,,NO RESPONSE,Clitic,Masculine,Plural,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-16,0,,,,,,están,Other,DOM,Masculine,Singular,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-17,,,,1,1,,ve el niño,DP,Clitic,Feminine,Plural,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-18,0,,,,,,están comiendo,Indicative,Subjunctive,,,comer,213756,Regular,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-19,,,,1,1,,coman la comida,DP,Clitic,Masculine,Singular,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-20,0,,,,,,cocinándolo,Omission,DOM,Feminine,Singular,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-21,,,,1,1,DOM,ve a la niña,DP,Clitic,Feminine,Singular,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-22,,,,,,,cierran,Regular verb,Subjunctive,,,poner,514285,Irregular,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-23,,,,,,,ponga,Omission,Clitic,Masculine,Plural,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-24,,,,,,,vean,Omission,DOM,Feminine,Plural,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-25,,,,1,1,DOM,ve a las niñas,DP,Clitic,Feminine,Plural,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-26,0,,,,,,ve la tv,Indicative,Subjunctive,,,ver,1611795,Irregular,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-27,0,,,,,,ve las niñas,Omission,DOM,Feminine,Plural,,,,L2 learner,L2,L2,L2
H02,L2,8,,175,2,4,,8,Production,Prod-28,0,,,,,,que haya sol,,Subjunctive,,,salir,334324,Irregular,L2 learner,L2,L2,L2
H03,L2,8,14,170,2,4,3,8,Production,Prod-01,0,,,,,,la niña/la mujer,Omission,DOM,Masculine,Singular,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-02,0,,,,,,escritura,Other,Subjunctive,,,escribir,265684,Regular,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-03,,,,,,Se,se usan cosa muy dura,DP,Clitic,Masculine,Singular,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-04,0,,,,,,el niño,Omission,DOM,Masculine,Singular,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-05,,,,,,,están comiendo,Omission,Clitic,Feminine,Singular,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-06,0,,,,,,hacer ejercicio,Infinitive,Subjunctive,,,hacer,2726954,Irregular,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-07,,,,,,,están contando,Omission,Clitic,Masculine,Plural,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-08,0,,,,,,el perro y la niña,Omission,DOM,Feminine,Singular,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-09,,,,,,,están quitando,Omission,Clitic,Feminine,Plural,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-10,0,,,,,,abrir la puerta,Infinitive,Subjunctive,,,abrir,143932,Regular,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-11,,,,1,1,Recoded as no score -Jen,limpian el perro,DP,Clitic,Masculine,Singular,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-12,0,,,,,,el niño,Omission,DOM,Masculine,Singular,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-13,,,,,,,están escuchando,Omission,Clitic,Feminine,Singular,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-14,0,,,,,,salir,Infinitive,Subjunctive,,,ir,603647,Irregular,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-15,,,,1,1,Se,se ponen los libros en la mesa,DP,Clitic,Masculine,Plural,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-16,0,,,,,,el bebé,Omission,DOM,Masculine,Singular,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-17,,,,1,1,Se,Se comen las galletas,DP,Clitic,Feminine,Plural,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-18,0,,,,,,comen la comida,Indicative,Subjunctive,,,comer,213756,Regular,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-19,,,,1,1,,cocinan el pescado,DP,Clitic,Masculine,Singular,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-20,0,,,,,,la niña ,Omission,DOM,Feminine,Singular,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-21,,,,1,1,,fechar la puerta,DP,Clitic,Feminine,Singular,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-22,0,,,,,,poner las chaquetas,Infinitive,Subjunctive,,,poner,514285,Irregular,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-23,,,,1,1,Se,Se juegan los instrumentos,DP,Clitic,Masculine,Plural,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-24,0,,,,,,las dos niñas,Omission,DOM,Feminine,Plural,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-25,,,,,,SUBJ,pongan la mesa,DP,Clitic,Feminine,Plural,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-26,0,,,,,,ver el tele,Infinitive,Subjunctive,,,ver,1611795,Irregular,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-27,0,,,,,,las dos niñas,Omission,DOM,Feminine,Plural,,,,Portuguese,No,Yes,Yes
H03,L2,8,14,170,2,4,3,8,Production,Prod-28,0,,,,,,ser soleado,Omission,Subjunctive,,,salir,334324,Irregular,Portuguese,No,Yes,Yes
H04,L2,8,,166,1,4,,8,Production,Prod-01,0,,,,,,su niño,Omission,DOM,Masculine,Singular,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-02,1,,,,,,que escriban,,Subjunctive,,,escribir,265684,Regular,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-03,1,1,1,,,,lo van romper,,Clitic,Masculine,Singular,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-04,0,,,,,,su hijo,Omission,DOM,Masculine,Singular,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-05,0,0,0,,,,comerlos,Gender/Number,Clitic,Feminine,Singular,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-06,,,,,,,que juegan,Indicative,Subjunctive,,,hacer,2726954,Irregular,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-07,1,1,1,,,,decirlos,,Clitic,Masculine,Plural,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-08,1,,,,,,a sus hijos,,DOM,Feminine,Singular,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-09,0,0,1,,,,van quitarlos,Gender,Clitic,Feminine,Plural,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-10,1,,,,,,que abran la puerta,,Subjunctive,,,abrir,143932,Regular,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-11,,,,,,,lavar,Omission,Clitic,Masculine,Singular,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-12,0,,,,,,un hijo,Omission,DOM,Masculine,Singular,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-13,,,,1,1,,van a escuchar música,DP,Clitic,Feminine,Singular,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-14,0,,,,,,van a salir,Indicative,Subjunctive,,,ir,603647,Irregular,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-15,0,1,1,,,Changed to 0 -Jen,van a ponerlo en la mesa,Number,Clitic,Masculine,Plural,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-16,0,,,,,,su hijo,Omission,DOM,Masculine,Singular,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-17,,,,1,1,,van a comer las galletas,Omission,Clitic,Feminine,Plural,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-18,0,,,,,,que comen su cena,Indicative,Subjunctive,,,comer,213756,Regular,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-19,,,,,,,cocinar,Infinitive,Clitic,Masculine,Singular,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-20,0,,,,,,una hija,Omission,DOM,Feminine,Singular,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-21,,,,1,1,,van a cerrar la puerta,DP,Clitic,Feminine,Singular,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-22,0,,,,,,que ponen,Indicative,Subjunctive,,,poner,514285,Irregular,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-23,,,,,,,hacer musica,DP,Clitic,Masculine,Plural,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-24,0,,,1,1,,las hijas,Omission,DOM,Feminine,Plural,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-25,,,,,,,poner las mascarillas,DP,Clitic,Feminine,Plural,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-26,0,,,,,,que miran la tele,Indicative,Subjunctive,,,ver,1611795,Irregular,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-27,0,,,,,,las hijas,Omission,DOM,Feminine,Plural,,,,L2 learner,L2,L2,L2
H04,L2,8,,166,1,4,,8,Production,Prod-28,0,,,,,,que el sol se sale,Indicative,Subjunctive,,,salir,334324,Irregular,L2 learner,L2,L2,L2
H05,Heritage,8,,174,2,6,,8,Production,Prod-01,0,,,,,,su hijo,Omission,DOM,Masculine,Singular,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-02,0,,,,,,que ellos escriben,Indicative,Subjunctive,,,escribir,265684,Regular,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-03,,,,,,,romper,Omission,Clitic,Masculine,Singular,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-04,0,,,,,,su hijo,Omission,DOM,Masculine,Singular,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-05,,,,,,,están comiendo,Omission,Clitic,Feminine,Singular,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-06,0,,,,,,que los niños juegan,Regular verb,Subjunctive,,,hacer,2726954,Irregular,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-07,,,,,,,cuenta los números,DP,Clitic,Masculine,Plural,,,,Heritage Spanish,,,
H05,Heritage,8,,174,2,6,,8,Production,Prod-08,0,,,,,,su sobrina y un perro,Omission,DOM,Feminine,Singular,,,,Heritage Spanish,,,
